MWSC,N,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),deltaH,logt,e_logt,Nt
5602,1700,MWSC_5602        , , ,46.231,23.095,158.811,-30.325,0.02,0.08,0.155,3.24,-4.8,2,9,20,1184,0.104,10.4,0.05,0.033,-0.03,9.39,       ,-1
5604,1160,MWSC_5604        , , ,47.452,-42.88,251.404,-57.905,0.017,0.1,0.2,0.58,3.72,1,7,17,1437,0.042,10.8,0.02,0.013,0.02,9.2,       ,-1
5621,1901,MWSC_5621        , , ,57.157,22.27,168.239,-24.63,0.015,0.075,0.14,8.32,-6.29,1,15,31,1468,0.208,10.9,0.1,0.067,0,9.46,0.13,3
5623,2939,MWSC_5623        , , ,60.285,24.115,169.098,-21.307,0.025,0.11,0.185,-1.02,-3.9,4,28,42,1211,0.26,10.5,0.125,0.083,0,9.1,       ,-1
5627,2481,MWSC_5627        , , ,64.792,20.335,175.113,-20.867,0.017,0.09,0.165,1.56,-7,3,13,27,1659,0.312,11.2,0.15,0.1,-0.005,9.25,       ,-1
5633,2295,MWSC_5633        , , ,68.355,9.4,186.72,-25.025,0.025,0.095,0.161,-1,-5.95,6,20,33,1481,0.302,10.95,0.145,0.097,0,9.1,       ,-1
5634,3013,MWSC_5634        , , ,68.832,18.54,179.183,-19.105,0.015,0.08,0.155,2.81,-2.88,1,14,40,1991,0.479,11.65,0.23,0.153,-0.03,9.25,       ,-1
5645,3587,MWSC_5645        , , ,75.217,10.445,189.95,-18.875,0.022,0.11,0.18,-2.22,0.37,2,18,43,2371,0.406,12.005,0.195,0.13,0,9.01,0.034,8
5651,3061,MWSC_5651        , , ,77.683,5.89,195.402,-19.263,0.018,0.095,0.165,-1.12,-1.82,1,12,30,2485,0.229,12.05,0.11,0.073,0,9.225,       ,-1
5656,3141,MWSC_5656        , , ,79.162,2.21,199.56,-19.873,0.02,0.1,0.195,1.94,0.17,3,10,35,1847,0.833,11.6,0.4,0.267,0.05,8.8,       ,-1
5665,2204,MWSC_5665        , , ,92.61,-42.21,249.354,-25.068,0.025,0.085,0.14,-0.85,1.19,4,17,27,934,0.416,9.985,0.2,0.133,0,8.875,       ,-1
5667,3063,MWSC_5667        , , ,94.5,-31.8,239.068,-20.506,0.02,0.095,0.18,-0.5,2.14,3,22,46,2290,0.312,11.9,0.15,0.1,0,9.015,       ,-1
